1000	2169	318	785	1082	2288	660	1401	2164	2402	923	2483	4328	2443	1005	3631	6492	2344	1040	4611	8656	
10000	20899	3382	7121	10091	21960	6458	13514	20182	22949	8940	23660	40364	22888	9613	33511	60546	23783	10381	41616	80728	
100000	209366	33830	70841	100466	219028	63152	134294	200932	225003	86645	240778	401864	227349	95928	341448	602796	231500	101623	430686	803728	
