Source [urn:wisebed:unigetestbed:0x1b3b], Text [Enable::0x1b3b::1::], Level[DEBUG], Time[2011-02-10T14:27:13.309+01:00]
Source [urn:wisebed:unigetestbed:0x1be5], Text [Enable::0x1be5::1::], Level[DEBUG], Time[2011-02-10T14:27:13.383+01:00]
Source [urn:wisebed:unigetestbed:0x15e0], Text [Node 0x15e0 received enable from uart 6], Level[DEBUG], Time[2011-02-10T14:27:13.313+01:00]
Source [urn:wisebed:unigetestbed:0x1b4c], Text [Enable::0x1b4c::1::], Level[DEBUG], Time[2011-02-10T14:27:13.405+01:00]
Source [urn:wisebed:unigetestbed:0x99ad], Text [Enable::0x99ad::1::], Level[DEBUG], Time[2011-02-10T14:27:13.315+01:00]
Source [urn:wisebed:unigetestbed:0x1520], Text [Enable::0x1520::1::], Level[DEBUG], Time[2011-02-10T14:27:13.313+01:00]
Source [urn:wisebed:unigetestbed:0x1cb9], Text [Enable::0x1cb9::1::], Level[DEBUG], Time[2011-02-10T14:27:13.409+01:00]
Source [urn:wisebed:unigetestbed:0x1b99], Text [Node 0x1b99 received enable from uart 6], Level[DEBUG], Time[2011-02-10T14:27:13.384+01:00]
Source [urn:wisebed:unigetestbed:0x1b84], Text [Enable::0x1b84::1::], Level[DEBUG], Time[2011-02-10T14:27:13.409+01:00]
Source [urn:wisebed:unigetestbed:0x96f4], Text [Enable::0x96f4::1::], Level[DEBUG], Time[2011-02-10T14:27:13.311+01:00]
Source [urn:wisebed:unigetestbed:0x1b99], Text [Enable::0x1b99::1::], Level[DEBUG], Time[2011-02-10T14:27:13.385+01:00]
Source [urn:wisebed:unigetestbed:0x15e0], Text [Enable::0x15e0::1::], Level[DEBUG], Time[2011-02-10T14:27:13.316+01:00]
Source [urn:wisebed:unigetestbed:0x1725], Text [Clusters::0x1725::0::0xffffffff::0::0xffff::], Level[DEBUG], Time[2011-02-10T14:32:13.249+01:00]
Source [urn:wisebed:unigetestbed:0x1b3b], Text [Clusters::0x1b3b::0::0xffffffff::0::0xffff::], Level[DEBUG], Time[2011-02-10T14:32:13.281+01:00]
Source [urn:wisebed:unigetestbed:0x1b7f], Text [Clusters::0x1b7f::0::0xffffffff::0::0xffff::], Level[DEBUG], Time[2011-02-10T14:32:13.283+01:00]
Source [urn:wisebed:unigetestbed:0x96eb], Text [Clusters::0x96eb::0::0xffffffff::0::0xffff::], Level[DEBUG], Time[2011-02-10T14:32:13.372+01:00]
Source [urn:wisebed:unigetestbed:0x99bd], Text [Clusters::0x99bd::0::0xffffffff::0::0xffff::], Level[DEBUG], Time[2011-02-10T14:32:13.284+01:00]
Source [urn:wisebed:unigetestbed:0x15d3], Text [Clusters::0x15d3::0::0xffffffff::0::0xffff::], Level[DEBUG], Time[2011-02-10T14:32:13.252+01:00]
Source [urn:wisebed:unigetestbed:0x1b84], Text [Clusters::0x1b84::0::0xffffffff::0::0xffff::], Level[DEBUG], Time[2011-02-10T14:32:13.409+01:00]
Source [urn:wisebed:unigetestbed:0x9700], Text [Clusters::0x9700::0::0xffffffff::0::0xffff::], Level[DEBUG], Time[2011-02-10T14:32:13.256+01:00]
Source [urn:wisebed:unigetestbed:0x1b4c], Text [Clusters::0x1b4c::0::0xffffffff::0::0xffff::], Level[DEBUG], Time[2011-02-10T14:32:13.413+01:00]
Source [urn:wisebed:unigetestbed:0x96c2], Text [Clusters::0x96c2::0::0xffffffff::0::0xffff::], Level[DEBUG], Time[2011-02-10T14:32:13.259+01:00]
Source [urn:wisebed:unigetestbed:0x999d], Text [Clusters::0x999d::0::0xffffffff::0::0xffff::], Level[DEBUG], Time[2011-02-10T14:32:13.292+01:00]
Source [urn:wisebed:unigetestbed:0x96f4], Text [Clusters::0x96f4::0::0xffffffff::0::0xffff::], Level[DEBUG], Time[2011-02-10T14:32:13.292+01:00]
