0x09,0x24	3	-70
0x09,0x24	4	-70
0x09,0x24	5	-70
0x09,0x24	6	-71
0x09,0x24	7	-70
0x09,0x24	8	-72
0x09,0x24	10	-72
0x09,0x24	14	-71
0x09,0x24	16	-71
0x09,0x24	18	-72
0x09,0x24	20	-72
0x09,0x24	21	-71
0x09,0x24	22	-71
0x09,0x24	23	-72
0x09,0x24	26	-71
0x09,0x24	27	-72
0x09,0x24	29	-71
0x09,0x24	30	-70
0x09,0x24	31	-71
0x09,0x24	32	-70
0x09,0x24	33	-70
0x09,0x24	34	-71
0x09,0x24	35	-71
0x09,0x24	36	-71
0x09,0x24	37	-70
0x09,0x24	38	-71
0x09,0x24	39	-70
0x09,0x24	40	-71
0x09,0x24	41	-71
0x09,0x24	42	-71
0x09,0x24	43	-71
0x09,0x24	44	-71
0x09,0x24	45	-71
0x09,0x24	49	-71
0x09,0x24	51	-71
0x09,0x24	52	-71
0x09,0x24	54	-71
0x09,0x24	55	-71
0x09,0x24	58	-71
0x09,0x24	59	-72
0x09,0x24	61	-72
0x09,0x24	62	-73
0x09,0x24	69	-73
0x09,0x24	70	-73
0x09,0x24	73	-72
0x09,0x24	80	-73
0x09,0x24	102	-73
0x09,0x24	103	-73
0x09,0x24	104	-72
0x09,0x24	106	-73
0x09,0x24	107	-73
0x09,0x24	108	-73
0x09,0x24	112	-73
0x09,0x24	113	-73
0x09,0x24	115	-73
0x09,0x24	121	-74
0x09,0x24	124	-73
0x09,0x24	126	-73
0x09,0x24	132	-71
0x09,0x24	133	-72
0x09,0x24	143	-72
0x09,0x24	144	-73
0x09,0x24	155	-73
0x09,0x24	157	-72
0x09,0x24	160	-72
0x09,0x24	162	-71
0x09,0x24	163	-73
0x09,0x24	167	-72
0x09,0x24	168	-73
0x09,0x24	170	-73
0x09,0x24	171	-72
0x09,0x24	174	-73
0x09,0x24	175	-73
0x09,0x24	176	-73
0x09,0x24	178	-71
0x09,0x24	179	-72
0x09,0x24	180	-73
0x09,0x24	181	-73
0x09,0x24	184	-72
0x09,0x24	189	-72
0x09,0x24	190	-73
0x09,0x24	194	-73
0x09,0x24	195	-71
0x09,0x24	196	-71
0x09,0x24	198	-71
0x09,0x24	199	-71
0x09,0x24	200	-71
0x09,0x24	201	-73
0x09,0x24	208	-73
0x09,0x24	210	-73
0x09,0x24	212	-73
