Source [urn:wisebed:ctitestbed:0x1cde], Text [SA;0x1cde;yes], Level [DEBUG], Time [2011-09-08T15:54:51.683+03:00]
Source [urn:wisebed:ctitestbed:0x9979], Text [SD;210;120], Level [DEBUG], Time [2011-09-08T15:55:07.495+03:00]
Source [urn:wisebed:ctitestbed:0x1cde], Text [SD;210;120], Level [DEBUG], Time [2011-09-08T15:55:07.684+03:00]
Source [urn:wisebed:ctitestbed:0x1cde], Text [condition 210|120], Level [DEBUG], Time [2011-09-08T15:55:07.684+03:00]
Source [urn:wisebed:ctitestbed:0x1cde], Text [Value 210], Level [DEBUG], Time [2011-09-08T15:55:07.684+03:00]
Source [urn:wisebed:ctitestbed:0x1cde], Text [SA;0x1cde;no], Level [DEBUG], Time [2011-09-08T15:55:07.684+03:00]
Source [urn:wisebed:ctitestbed:0xcaa], Text [SD;210;120], Level [DEBUG], Time [2011-09-08T15:55:07.832+03:00]
Source [urn:wisebed:ctitestbed:0xcaa], Text [condition 210|120], Level [DEBUG], Time [2011-09-08T15:55:07.832+03:00]
Source [urn:wisebed:ctitestbed:0xcaa], Text [got a value 120], Level [DEBUG], Time [2011-09-08T15:55:07.832+03:00]
Source [urn:wisebed:ctitestbed:0xcaa], Text [SA;0xcaa;yes], Level [DEBUG], Time [2011-09-08T15:55:07.832+03:00]
Source [urn:wisebed:ctitestbed:0xcaa], Text [Value 120], Level [DEBUG], Time [2011-09-08T15:55:07.832+03:00]
Source [urn:wisebed:ctitestbed:0x153d], Text [SD;210;120], Level [DEBUG], Time [2011-09-08T15:55:07.965+03:00]
Source [urn:wisebed:ctitestbed:0x1cde], Text [*B*], Level [DEBUG], Time [2011-09-08T15:56:31.690+03:00]
Source [urn:wisebed:ctitestbed:0xcaa], Text [*B*], Level [DEBUG], Time [2011-09-08T15:56:31.838+03:00]
Source [urn:wisebed:ctitestbed:0x153d], Text [*B*], Level [DEBUG], Time [2011-09-08T15:56:31.975+03:00]
